rep age_class pos neg total
0 0 18330 56087 74417
0 1 41872 32321 74193
0 2 41408 38635 80043
0 3 61321 24885 86206
0 4 138897 10525 149422
0 5 124732 3319 128051
0 6 100832 1563 102395
0 7 68495 638 69133
0 8 69734 88 69822
1 0 24279 50138 74417
1 1 37657 36536 74193
1 2 44088 35955 80043
1 3 47109 39097 86206
1 4 120226 29196 149422
1 5 125498 2553 128051
1 6 100915 1480 102395
1 7 68532 601 69133
1 8 69655 167 69822
2 0 5089 69328 74417
2 1 44866 29327 74193
2 2 55999 24044 80043
2 3 69384 16822 86206
2 4 124666 24756 149422
2 5 121968 6083 128051
2 6 98986 3409 102395
2 7 67998 1135 69133
2 8 69414 408 69822
3 0 11059 63358 74417
3 1 35858 38335 74193
3 2 57700 22343 80043
3 3 59667 26539 86206
3 4 121266 28156 149422
3 5 123497 4554 128051
3 6 99796 2599 102395
3 7 68090 1043 69133
3 8 69518 304 69822
4 0 9052 65365 74417
4 1 29867 44326 74193
4 2 45479 34564 80043
4 3 73322 12884 86206
4 4 122604 26818 149422
4 5 123640 4411 128051
4 6 100164 2231 102395
4 7 68212 921 69133
4 8 69580 242 69822
5 0 5328 69089 74417
5 1 33442 40751 74193
5 2 34770 45273 80043
5 3 37037 49169 86206
5 4 104979 44443 149422
5 5 111844 16207 128051
5 6 91184 11211 102395
5 7 64490 4643 69133
5 8 68424 1398 69822
6 0 8189 66228 74417
6 1 22817 51376 74193
6 2 26728 53315 80043
6 3 51774 34432 86206
6 4 134637 14785 149422
6 5 122214 5837 128051
6 6 100030 2365 102395
6 7 68414 719 69133
6 8 69672 150 69822
7 0 15617 58800 74417
7 1 44388 29805 74193
7 2 50462 29581 80043
7 3 53496 32710 86206
7 4 118764 30658 149422
7 5 120267 7784 128051
7 6 97179 5216 102395
7 7 66786 2347 69133
7 8 68992 830 69822
8 0 7689 66728 74417
8 1 20182 54011 74193
8 2 24028 56015 80043
8 3 30544 55662 86206
8 4 97179 52243 149422
8 5 121097 6954 128051
8 6 97388 5007 102395
8 7 67195 1938 69133
8 8 69009 813 69822
9 0 3196 71221 74417
9 1 60891 13302 74193
9 2 52701 27342 80043
9 3 61549 24657 86206
9 4 122172 27250 149422
9 5 121367 6684 128051
9 6 97795 4600 102395
9 7 67021 2112 69133
9 8 69179 643 69822
10 0 20111 54306 74417
10 1 44656 29537 74193
10 2 72300 7743 80043
10 3 73929 12277 86206
