pid hid age sex hh_serial pernum workid
1 1 31 1 2748179000 1 442670
2 1 29 2 2748179000 2 395324
3 1 10 2 2748179000 3 468423
4 2 32 1 2748114000 1 397104
5 2 30 2 2748114000 2 396166
6 2 10 1 2748114000 3 418406
7 2 4 1 2748114000 4 2
8 3 29 1 2748244000 1 468346
9 3 28 2 2748244000 2 3
10 3 9 2 2748244000 3 468399
11 3 7 1 2748244000 4 468399
12 3 5 1 2748244000 5 468399
13 4 47 1 2748138000 1 4
14 4 45 2 2748138000 2 4
15 4 18 1 2748138000 3 437506
16 5 32 1 2747622000 1 428276
17 5 27 2 2747622000 2 5
18 5 3 1 2747622000 3 5
19 6 55 1 2748206000 1 400401
20 6 56 2 2748206000 2 6
21 6 26 1 2748206000 3 437354
22 6 24 2 2748206000 4 468625
23 6 17 1 2748206000 5 442598
24 6 28 2 2748206000 6 6
25 6 6 1 2748206000 7 402935
26 7 35 1 2748045000 1 468498
27 7 36 2 2748045000 2 7
28 7 10 2 2748045000 3 402935
29 7 7 2 2748045000 4 402935
30 7 2 2 2748045000 5 7
31 8 34 1 2748156000 1 437824
32 8 34 2 2748156000 2 8
33 8 11 2 2748156000 3 468115
34 8 13 1 2748156000 4 468115
35 8 12 2 2748156000 5 468115
36 8 9 1 2748156000 6 468115
37 8 7 1 2748156000 7 468115
38 8 6 1 2748156000 8 468115
39 8 5 2 2748156000 9 468115
40 8 2 2 2748156000 10 8
41 8 1 1 2748156000 11 8
42 9 32 1 2748112000 1 442705
43 9 31 2 2748112000 2 9
44 9 12 2 2748112000 3 402935
45 9 9 2 2748112000 4 402935
46 9 2 2 2748112000 5 9
47 9 1 2 2748112000 6 9
48 10 35 1 2748045000 1 418406
49 10 36 2 2748045000 2 10
50 10 10 2 2748045000 3 402935
51 10 7 2 2748045000 4 402935
52 10 2 2 2748045000 5 10
53 11 50 1 2747802000 1 472381
54 11 43 2 2747802000 2 11
55 11 24 2 2747802000 3 11
56 11 22 2 2747802000 4 11
57 11 19 2 2747802000 5 404133
58 11 18 1 2747802000 6 402346
59 11 16 1 2747802000 7 11
60 11 23 1 2747802000 8 457792
61 11 25 1 2747802000 9 11
62 11 4 1 2747802000 10 11
63 11 3 1 2747802000 11 11
64 12 72 2 2748149000 1 12
65 12 50 1 2748149000 2 395324
66 13 38 1 2748019000 1 386104
67 13 35 2 2748019000 2 404133
68 13 17 2 2748019000 3 400528
69 13 12 2 2748019000 4 400528
70 13 8 1 2748019000 5 400528
71 13 6 2 2748019000 6 400528
72 14 75 2 2748037000 1 14
73 14 36 1 2748037000 2 14
74 15 38 1 2748110000 1 402346
75 15 35 2 2748110000 2 442835
76 15 14 1 2748110000 3 468399
77 15 8 1 2748110000 4 468399
78 16 36 1 2748231000 1 391187
79 16 34 2 2748231000 2 16
80 16 14 2 2748231000 3 468115
81 16 13 2 2748231000 4 468115
82 16 9 1 2748231000 5 468115
83 17 74 1 2748075000 1 17
84 18 38 1 2747763000 1 402671
85 18 37 2 2747763000 2 426522
86 18 18 1 2747763000 3 402935
87 18 16 2 2747763000 4 402935
88 18 14 2 2747763000 5 402935
89 18 18 2 2747763000 6 18
90 18 0 2 2747763000 7 18
91 19 55 1 2747679000 1 402346
92 19 57 2 2747679000 2 19
93 19 17 1 2747679000 3 437579
94 19 15 2 2747679000 4 468115
95 19 35 2 2747679000 5 436486
96 19 11 1 2747679000 6 468115
97 19 6 2 2747679000 7 468115
98 19 4 1 2747679000 8 19
99 19 24 2 2747679000 9 19
100 19 25 1 2747679000 10 436005
101 19 3 1 2747679000 11 19
102 20 39 2 2747588000 1 401571
103 20 20 1 2747588000 2 437583
104 20 18 2 2747588000 3 457792
105 21 40 1 2748207000 1 468213
106 21 36 2 2748207000 2 437770
107 21 8 2 2748207000 3 402935
108 22 34 1 2747712000 1 400683
109 22 34 2 2747712000 2 22
110 22 11 1 2747712000 3 402935
111 22 5 2 2747712000 4 402935
112 23 77 1 2747971000 1 23
113 23 84 2 2747971000 2 23
114 23 40 1 2747971000 3 457792
115 23 36 2 2747971000 4 404713
116 23 13 1 2747971000 5 398492
117 24 28 1 2747869000 1 442793
118 24 29 2 2747869000 2 24
119 24 3 2 2747869000 3 24
120 24 1 2 2747869000 4 24
121 25 60 1 2747591000 1 401571
122 26 40 1 2747718000 1 404104
123 26 37 2 2747718000 2 26
124 26 19 2 2747718000 3 26
125 26 26 1 2747718000 4 404133
126 26 15 1 2747718000 5 402935
127 26 12 1 2747718000 6 402935
128 26 8 2 2747718000 7 402935
129 26 5 2 2747718000 8 402935
130 26 2 2 2747718000 9 26
131 27 48 1 2748201000 1 418431
132 27 47 2 2748201000 2 27
133 27 27 2 2748201000 3 27
134 27 20 1 2748201000 4 418406
135 27 10 1 2748201000 5 418406
136 27 67 1 2748201000 6 27
137 28 22 1 2747617000 1 402346
138 28 20 2 2747617000 2 28
139 28 3 2 2747617000 3 28
140 29 32 1 2748114000 1 402671
141 29 30 2 2748114000 2 437883
142 29 10 1 2748114000 3 384331
143 29 4 1 2748114000 4 29
144 30 30 1 2748167000 1 391187
145 30 27 2 2748167000 2 30
146 30 9 2 2748167000 3 384331
147 30 3 2 2748167000 4 30
148 31 30 1 2748340000 1 31
149 31 25 2 2748340000 2 31
150 31 6 1 2748340000 3 402935
151 31 1 2 2748340000 4 31
152 31 0 2 2748340000 5 31
153 32 29 1 2747652000 1 418406
154 32 27 2 2747652000 2 32
155 32 10 1 2747652000 3 400368
156 32 9 2 2747652000 4 400368
157 32 6 1 2747652000 5 400368
158 32 2 2 2747652000 6 32
159 33 42 1 2747539000 1 442598
160 33 36 2 2747539000 2 33
161 33 17 1 2747539000 3 402935
162 33 15 1 2747539000 4 402935
163 33 5 2 2747539000 5 402935
164 34 42 1 2747826000 1 438372
165 34 41 2 2747826000 2 34
166 34 20 2 2747826000 3 404483
167 34 18 2 2747826000 4 34
168 35 34 1 2748088000 1 404104
169 35 28 2 2748088000 2 404483
170 35 16 2 2748088000 3 400528
171 35 12 1 2748088000 4 402935
172 35 5 1 2748088000 5 402935
173 35 2 1 2748088000 6 35
174 36 27 1 2747610000 1 468585
175 36 23 2 2747610000 2 36
176 36 7 2 2747610000 3 386104
177 36 5 1 2747610000 4 386104
178 36 1 1 2747610000 5 36
179 37 27 1 2748084000 1 401560
180 37 26 2 2748084000 2 37
181 37 6 2 2748084000 3 418406
182 37 69 1 2748084000 4 37
183 37 64 2 2748084000 5 37
184 37 34 2 2748084000 6 400449
185 38 57 1 2747958000 1 38
186 38 44 2 2747958000 2 38
187 38 23 1 2747958000 3 436217
188 38 14 2 2747958000 4 402935
189 39 47 1 2748069000 1 438445
190 39 42 2 2748069000 2 39
191 39 16 2 2748069000 3 402935
192 39 14 1 2748069000 4 402935
193 40 77 1 2747971000 1 40
194 40 84 2 2747971000 2 40
195 40 40 1 2747971000 3 395324
196 40 36 2 2747971000 4 436491
197 40 13 1 2747971000 5 468399
198 41 35 1 2748306000 1 394455
199 41 36 2 2748306000 2 41
200 41 11 2 2748306000 3 402935
201 41 0 1 2748306000 4 41
202 41 59 1 2748306000 5 438136
203 42 79 1 2748217000 1 42
204 42 58 2 2748217000 2 426658
205 42 50 1 2748217000 3 393294
206 42 49 2 2748217000 4 42
207 42 19 1 2748217000 5 427574
208 42 26 1 2748217000 6 402671
209 42 27 2 2748217000 7 42
210 42 23 1 2748217000 8 42
211 42 22 2 2748217000 9 42
212 42 31 1 2748217000 10 402563
213 42 28 2 2748217000 11 42
214 42 11 1 2748217000 12 418406
215 42 10 1 2748217000 13 418406
216 42 1 2 2748217000 14 42
217 42 6 1 2748217000 15 418406
218 42 5 1 2748217000 16 418406
219 43 62 1 2747833000 1 43
220 43 38 1 2747833000 2 402935
221 43 35 2 2747833000 3 437585
222 43 15 1 2747833000 4 402935
223 43 11 1 2747833000 5 402935
224 44 50 1 2747730000 1 418406
225 44 49 2 2747730000 2 44
226 44 22 1 2747730000 3 418427
227 44 17 1 2747730000 4 442714
228 44 14 2 2747730000 5 44
229 44 94 1 2747730000 6 44
230 45 27 1 2747822000 1 397659
231 45 30 2 2747822000 2 45
232 45 8 1 2747822000 3 402935
233 45 4 1 2747822000 4 45
234 45 3 1 2747822000 5 45
235 46 54 1 2748250000 1 436068
236 46 55 2 2748250000 2 46
237 46 17 2 2748250000 3 397659
238 46 15 1 2748250000 4 394455
239 46 12 2 2748250000 5 402935
240 47 34 1 2748279000 1 438172
241 47 34 2 2748279000 2 457792
242 47 14 2 2748279000 3 402346
243 47 12 2 2748279000 4 402346
244 48 45 1 2748071000 1 400431
245 48 43 2 2748071000 2 48
246 48 12 2 2748071000 3 423236
247 49 37 1 2748243000 1 437412
248 49 32 2 2748243000 2 437372
249 50 34 1 2747638000 1 386104
250 50 33 2 2747638000 2 50
251 50 14 1 2747638000 3 390554
252 50 13 2 2747638000 4 390554
253 50 7 2 2747638000 5 390554
254 50 4 1 2747638000 6 50
255 51 66 1 2747959000 1 404104
256 51 65 2 2747959000 2 51
257 52 27 1 2747714000 1 404816
258 52 27 2 2747714000 2 52
259 52 8 1 2747714000 3 384331
260 52 4 2 2747714000 4 52
261 52 0 1 2747714000 5 52
262 53 38 1 2748134000 1 437471
263 53 38 2 2748134000 2 436434
264 53 20 2 2748134000 3 53
265 53 18 1 2748134000 4 402346
266 53 15 1 2748134000 5 53
267 53 13 2 2748134000 6 402346
268 53 2 1 2748134000 7 53
269 53 0 1 2748134000 8 53
270 54 50 1 2747802000 1 396717
271 54 43 2 2747802000 2 54
272 54 24 2 2747802000 3 54
273 54 22 2 2747802000 4 54
274 54 19 2 2747802000 5 400583
275 54 18 1 2747802000 6 384339
276 54 16 1 2747802000 7 54
277 54 23 1 2747802000 8 402560
278 54 25 1 2747802000 9 54
279 54 4 1 2747802000 10 54
280 54 3 1 2747802000 11 54
281 55 45 1 2747923000 1 400368
282 55 43 2 2747923000 2 404104
283 55 24 1 2747923000 3 55
284 55 20 1 2747923000 4 436454
285 56 50 2 2747676000 1 56
286 56 22 1 2747676000 2 442729
287 56 13 1 2747676000 3 402451
288 56 61 1 2747676000 4 442527
289 57 79 1 2747872000 1 57
290 58 68 1 2748324000 1 468695
291 58 64 2 2748324000 2 58
292 58 37 1 2748324000 3 442655
293 59 40 1 2747942000 1 404104
294 59 34 2 2747942000 2 402671
295 59 20 1 2747942000 3 438445
296 59 18 1 2747942000 4 436293
297 59 13 2 2747942000 5 402935
298 59 3 1 2747942000 6 59
299 60 47 1 2747621000 1 442701
300 60 50 2 2747621000 2 60
301 60 22 2 2747621000 3 386104
302 60 15 2 2747621000 4 400401
303 60 12 2 2747621000 5 400401
304 60 17 2 2747621000 6 402346
305 60 27 1 2747621000 7 442668
306 60 6 1 2747621000 8 400401
307 60 2 1 2747621000 9 60
308 61 84 1 2747775000 1 61
309 61 52 1 2747775000 2 400662
310 61 20 1 2747775000 3 436084
311 62 73 2 2748002000 1 62
312 62 15 1 2748002000 2 468586
313 62 25 1 2748002000 3 62
314 62 20 2 2748002000 4 62
315 62 2 2 2748002000 5 62
316 63 59 1 2748016000 1 401719
317 63 60 2 2748016000 2 63
318 63 17 2 2748016000 3 384331
319 63 16 2 2748016000 4 384331
320 64 64 1 2747759000 1 402549
321 64 57 2 2747759000 2 64
322 64 20 2 2747759000 3 64
323 64 17 1 2747759000 4 397104
324 64 17 1 2747759000 5 64
325 65 59 1 2748267000 1 468570
326 65 57 2 2748267000 2 65
327 65 86 2 2748267000 3 65
328 65 26 1 2748267000 4 419974
329 65 31 2 2748267000 5 65
330 65 7 1 2748267000 6 400418
331 65 5 2 2748267000 7 400418
332 65 3 2 2748267000 8 65
333 65 0 2 2748267000 9 65
334 66 43 1 2747768000 1 395324
335 66 46 2 2747768000 2 66
336 66 14 2 2747768000 3 384339
337 66 9 1 2747768000 4 384339
338 66 72 2 2747768000 5 66
339 67 40 1 2748036000 1 423236
340 67 38 2 2748036000 2 67
341 67 13 1 2748036000 3 402935
342 67 7 2 2748036000 4 402935
343 67 3 1 2748036000 5 67
