year 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85+
1970 26222 25943 25663 25384 25105 24825 24546 24267 23433 22599 21765 20931 20098 19254 18411 17568 16725 15882 15239 14597 13955 13312 12670 12185 11700 11215 10730 10245 9827 9410 8993 8575 8158 8105 8051 7998 7945 7892 7529 7165 6802 6438 6075 5889 5702 5516 5330 5144 4864 4584 4305 4025 3746 3632 3519 3406 3293 3179 3120 3061 3002 2943 2884 2749 2613 2478 2343 2208 2073 1938 1804 1669 1534 1386 1238 1090 942 794 749 704 659 614 569 523 478 2623
1971 26661 26406 26150 25895 25639 25384 25128 24873 24070 23267 22464 21662 20859 20030 19201 18372 17542 16713 16041 15369 14697 14025 13353 12844 12335 11826 11317 10808 10377 9946 9514 9083 8652 8576 8499 8423 8346 8270 7888 7507 7125 6743 6361 6167 5972 5777 5583 5388 5102 4817 4531 4245 3960 3836 3712 3588 3464 3340 3274 3209 3143 3078 3012 2869 2727 2584 2441 2298 2158 2018 1878 1738 1598 1449 1300 1151 1002 852 803 754 705 656 607 558 509 2804
1972 27093 26861 26630 26399 26168 25937 25705 25474 24703 23932 23162 22391 21620 20805 19991 19176 18362 17547 16845 16143 15441 14739 14037 13504 12971 12439 11906 11373 10928 10483 10038 9593 9148 9048 8948 8848 8749 8649 8249 7849 7449 7049 6649 6446 6242 6039 5836 5633 5341 5050 4758 4466 4175 4040 3905 3770 3635 3500 3428 3356 3284 3213 3141 2990 2840 2689 2539 2388 2243 2097 1952 1807 1661 1511 1361 1211 1061 911 858 805 752 699 646 593 540 2985
1973 27517 27311 27104 26898 26691 26485 26278 26071 25333 24595 23857 23118 22380 21581 20781 19982 19183 18383 17651 16919 16187 15455 14723 14167 13610 13053 12497 11940 11481 11023 10564 10105 9646 9522 9399 9275 9152 9028 8610 8191 7773 7355 6936 6725 6513 6301 6090 5878 5581 5283 4986 4688 4391 4245 4099 3953 3807 3661 3583 3504 3426 3348 3269 3111 2953 2795 2637 2479 2328 2177 2026 1875 1725 1574 1423 1272 1121 971 913 856 799 742 685 628 571 3167
1974 27936 27754 27573 27391 27210 27028 26847 26665 25960 25255 24550 23845 23140 22356 21573 20789 20005 19221 18459 17697 16935 16173 15411 14831 14250 13670 13089 12509 12036 11563 11091 10618 10146 9998 9851 9703 9555 9408 8971 8534 8098 7661 7224 7004 6784 6564 6344 6124 5820 5517 5214 4910 4607 4450 4293 4136 3979 3822 3737 3652 3568 3483 3398 3232 3066 2901 2735 2569 2413 2257 2101 1944 1788 1637 1485 1333 1182 1030 969 908 846 785 724 663 602 3350
1975 28349 28193 28036 27880 27724 27568 27412 27255 26584 25913 25242 24571 23899 23132 22364 21596 20829 20061 19269 18477 17685 16893 16101 15496 14892 14287 13683 13078 12592 12106 11619 11133 10647 10475 10303 10132 9960 9788 9333 8878 8423 7968 7513 7284 7055 6827 6598 6370 6060 5751 5442 5133 4824 4656 4488 4320 4152 3984 3892 3801 3710 3618 3527 3353 3180 3006 2833 2659 2498 2336 2175 2013 1852 1699 1547 1395 1242 1090 1025 959 894 829 763 698 633 3533
1976 28757 28626 28495 28365 28234 28104 27973 27843 27206 26569 25932 25295 24658 23907 23156 22405 21654 20903 20080 19258 18436 17614 16792 16163 15535 14906 14278 13649 13149 12649 12149 11649 11149 10953 10757 10561 10365 10169 9696 9222 8749 8275 7802 7564 7327 7090 6853 6616 6301 5986 5671 5356 5041 4862 4683 4504 4325 4145 4047 3950 3852 3754 3656 3475 3293 3112 2931 2750 2583 2416 2249 2082 1915 1762 1609 1456 1303 1150 1080 1011 942 872 803 733 664 3717
1977 29160 29055 28950 28846 28741 28636 28532 28427 27825 27223 26621 26019 25417 24683 23948 23214 22480 21745 20893 20041 19189 18336 17484 16832 16179 15527 14874 14222 13708 13194 12680 12167 11653 11433 11212 10992 10771 10551 10059 9567 9075 8583 8091 7845 7599 7354 7108 6862 6542 6221 5900 5580 5259 5069 4878 4688 4498 4307 4203 4098 3994 3889 3785 3596 3407 3218 3029 2840 2668 2496 2324 2151 1979 1825 1671 1518 1364 1210 1136 1063 989 916 842 769 695 3901
1978 29558 29480 29401 29323 29244 29166 29087 29009 28442 27875 27309 26742 26175 25458 24741 24024 23307 22590 21707 20825 19942 19060 18178 17501 16825 16148 15471 14795 14267 13740 13213 12685 12158 11913 11668 11423 11178 10933 10422 9912 9401 8891 8380 8126 7872 7617 7363 7109 6783 6456 6130 5804 5478 5276 5074 4873 4671 4470 4358 4247 4136 4025 3914 3717 3521 3324 3127 2931 2753 2575 2398 2220 2043 1888 1734 1579 1425 1270 1193 1115 1037 960 882 804 726 4087
1979 29953 29901 29849 29797 29745 29692 29640 29588 29057 28526 27995 27464 26933 26233 25534 24834 24135 23435 22522 21610 20697 19785 18872 18172 17471 16770 16070 15369 14828 14287 13746 13205 12664 12394 12124 11855 11585 11315 10786 10257 9728 9199 8670 8407 8144 7882 7619 7356 7024 6692 6360 6028 5696 5483 5271 5058 4845 4632 4514 4396 4279 4161 4043 3839 3634 3430 3226 3021 2838 2655 2472 2289 2106 1951 1796 1641 1486 1331 1249 1167 1085 1003 922 840 758 4272
1980 30344 30319 30293 30267 30242 30216 30191 30165 29670 29175 28680 28186 27691 27009 26327 25645 24963 24282 23339 22396 21453 20511 19568 18843 18118 17394 16669 15944 15390 14835 14280 13726 13171 12876 12582 12287 11992 11698 11150 10602 10055 9507 8960 8688 8417 8146 7875 7603 7266 6928 6591 6253 5916 5691 5467 5243 5019 4795 4670 4546 4421 4297 4172 3960 3748 3536 3324 3112 2923 2735 2547 2358 2170 2014 1858 1703 1547 1391 1305 1219 1133 1047 961 875 789 4458
1981 30714 30716 30717 30718 30719 30720 30722 30723 30265 29807 29348 28890 28432 27769 27105 26442 25779 25115 24143 23170 22198 21226 20253 19505 18756 18008 17259 16511 15943 15375 14807 14239 13671 13352 13032 12713 12393 12074 11508 10942 10376 9810 9245 8965 8685 8406 8126 7846 7503 7160 6817 6475 6132 5896 5661 5425 5190 4955 4824 4692 4561 4430 4299 4079 3860 3640 3420 3200 3007 2813 2619 2426 2232 2076 1920 1764 1608 1452 1361 1271 1181 1091 1001 911 820 4642
